Round,Loss,Accuracy
1,7.868707446251564,0.7721788502484032
2,7.9422565746678,0.7700496806245565
3,7.991317701587951,0.7686302342086586
4,7.501033308269894,0.7828246983676366
5,7.5990829230249854,0.7799858055358411
6,7.893232902275961,0.7714691270404542
7,7.868754548158383,0.7721788502484032
8,7.819684341352578,0.7735982966643009
9,7.819693421238231,0.7735982966643009
10,8.334459006138133,0.758694109297374
11,7.8442126348412415,0.772888573456352
12,7.770716850753209,0.7750177430801988
13,8.285433631267734,0.7601135557132718
14,8.064825970518754,0.7665010645848119
15,8.28542568636779,0.7601135557132718
16,8.015782435877053,0.7679205110007097
17,8.11383488809641,0.7650816181689141
18,7.746149400257675,0.7757274662881476
19,8.113837158067822,0.7650816181689141
20,7.844244414441023,0.772888573456352
